Lexical simplification	Syntactic Simplification
بیٹا اس دنیا میں آرام و آسائش کے ساتھ گزارنے کے لئے میں نے بہت دولت جمع کی۔	بیٹا میں نے بہت دولت جمع کی
لیکن آج مجھے زندہ رکھنے کے لئے یہ دولت بھی کام نہ آئی اور اب جہاں مجھے ہمیشہ ہمیشہ کے لئے رہنا ہے وہاں کے لئے میں نے کچھ نہ کیا۔	لیکن آج مجھے یہ دولت بھی کام نہ آئی ، اس دنیا کے لئے میں نے کچھ نہ کیا۔
بیٹا۔ آج میرے پاس دولت کی ڈھیر ہے۔	آج میرے پاس دولت کی ڈھیر ہے
لیکن اسکے باوجود میں زندہ نہیں رہ سکتا۔	لیکن اسکے باوجود میں زندہ نہیں رہ سکتا۔
میں کتنا بے بس اور غریب ہوگیا ہوں۔	میں کتنا غریب ہوگیا ہوں
کہ جا رہا ہوں تو میرا سیدھا ہاتھ خالی ہے۔	 میں خالی ہاتھ جا رہا ہوں
اےخدا میری غربت پر رحم فرما-	اےخدا میری غربت پر رحم فرما
اُس کا رشتہ طے ہونے کے بعد لڑکے کے گھر والوں نے جہیز میں قیمتی چیزوں کی خواھش شروع کر دی تھی۔	رشتہ طے ہوتے ہی لڑکے کے گھر والوں نے قیمتی چیزوں کی خواھش شروع کر دی تھی
لڑکے کی خواھش تھی کہ اُسے جہیز میں رنگین ٹی وی اور بائک بھی ملے۔	لڑکے کو جہیز میں رنگین ٹی وی اور بائک چاہیں تھی۔
اسکے والد نوکری پوری کرچکے تھے۔	اسکے والد نوکری پوری کرچکے تھے۔
نوکری پوری کرنے کے بعد جو بھی روپیہ ہاتھ آیا تھا۔	نوکری سےجو بھی روپیہ ہاتھ آیا تھا
اُن روپیوں سے اسکی تین بہنوں کی شادی کرنی تھی۔	اُن روپیوں سے اسکی تین بہنوں کے شادی کرنی تھی
لیکن چونکہ رشتہ طے ہو چکا تھا۔	رشتہ طے ہو چکا تھا۔
کاڈز تقسیم ہو چکے تھے۔	کاڈز تقسیم ہو چکے تھے
لہذا اسکے والد نے لڑکے اور اسکے والدین کی خواہشوں کو پورا کرنے میں کوئی کمی نہ چھوڑی۔	اسکے والد نے جہیز کے سارے خواہشوں کو پورا کرنے میں کمی نہ چھوڑی۔
شادی کے دوسرے دن اُس نے اپنے شوہر کے کمرے کا جائزہ لیا۔	شادی کے بعد اُس نے جب شوہر کے کمرے کا جائزہ لیا
تو اُسے بہت سے انعامات الماریوں میں رکھے نظر آئے۔	تو اُسے کے انعامات الماریوں میں رکھے نظر آئے۔
اسکے شوہر نے اُسے بتایا کہ یہ سب انعامات اُسے مختلف مقابلوں میں بڑا مقام حاصل کرنے پر ملے ہیں۔	شوہر نے بتایا کہ یہ انعامات اُسے ملے ہیں۔
اُس نے ایک شیلڈ کی طرف اشارہ کرتے ہوئے کہا دیکھو یہ شِلڈ مجھے مضمون لکھای کے مقابلہ میں اوّل مقام حاصل کرنے پر ملی ہے۔"	اُس نے ایک انعام کا  بتایا کہ یہ مضمون لکھای کے مقابلہ میں اوّل مقام حاصل کرنے پر ملی ہے- 
اُس نے پوچھا۔ مضمون کا عنوان آپ کو یاد ہے۔	اُس نے پوچھا کہ مضمون کا عنوان یاد ہے۔
شوہر نے کہا۔جی ہاں۔ آج کے دور کا  مسئلہ جہیز ایک معاشرتی لعنت ہے۔	شوہر نے کہا آج کے دور کا  مسئلہ ایک بڑا جہیز  ہے۔
میرے دوست۔۔ آج اُس لڑکی کا انتقال ہوا جسے باون سال پہلے میں نے راستے میں دیکھا تھا۔	آج اُس لڑکی کا انتقال ہوا جسے باون سال پہلے دیکھا تھا
اُسے دیکھ کر میرے دل میں یہ خیال آیا تھا۔	اُسے دیکھ کر خیال آیا تھا
کہ کاش یہ خوبصورت لڑکی میری بیوی بن جائے۔	کہ کاش یہ میری بیوی بن جائے
اسی وقت میں نے آسمان کی طرف نظریں اٹھا کر اﷲ تعالیٰ سے اُس لڑکی کو اپنے لئے مانگا۔	میں نے اﷲ تعالیٰ سے اُس لڑکی کو مانگا
وہ بڑی بے تکلف تھی میرے دل کے گہرائی میں چپ چاپ چلی آئی۔	وہ میرے دل میں چلی آئی
لیکن میں نے یہ بات چھپائے رکھی۔	میں نے یہ بات چھپائے رکھی۔
میں اس بات کا اظہار کرتا بھی کیسے والدین کی مرضی عزیز تھی۔	میرے لیے والدین کی مرضی عزیز تھی۔
دو سال بعد والدین نے میرے لئے لڑکی تلاش کرنے کا سلسلہ شروع کیا اور پھر اپنی مرضی اور خواہش کے مطابق میرے لئے لڑکی پسند کیی۔	دو سال بعد والدین نےاپنی مرضی سے میرے لئے لڑکی پسند کی
پھر وہ وقت بھی آگیا جس دن میری شادی ہوئی تھی۔	پھر میری شادی ہوگئی- 
شادی ہو جانے کے بعد جیسے ہی میری نظر اس پر پڑی میری حیرت کی انتہا نہ رہی اور میں بہت جذباتی ہو گیا۔	جیسے ہی میری نظر اس پر پڑی  میں بہت حیران اور جذباتی ہو گیا۔
اور خوشی و مسرت کے جذبات میں بے ساختہ چلّایا "تم وہی ہو تم وہی ہو۔	اور میں خوشی سے چلّایا تم وہی ہو تم وہی ہو
وہ سارے مذاہب کی کتابوں کا مطالعہ کرنے کے بعد دامن اسلام میں داخل ہوا تھا اور دین حکم  کے بلکل مطابق اپنی نئی زندگی پھر سے شروع کر چکا تھا۔	وہ اسلام میں داخل ہوا اور دین حکم کے مطابق زندگی پھر سے شروع کیی۔
ایک دن قریب پڑوس کے چند لوگوں نے اس سے کہا اب تمہیں شادی کر لینی چاہیے۔	لوگوں نے اس سے کہا تمہیں شادی کر لینی چاہیے۔
ہم نے ایک لڑکی دیکھی ہے۔	ہم نے ایک لڑکی دیکھی ہے
وہ لوگ تعلیم یافتہ اور خاندانی مسلمان ہیں۔	وہ لوگ تعلیم یافتہ اور خاندانی مسلمان ہیں۔
دوسرے دن وہ اُن لوگوں کے ساتھ ایک بڑے سے مکان میں داخل ہوا۔	 دوسرے دن  وہ لوگوں کے ساتھ ایک مکان میں داخل ہوا۔
اُسنے چاروں طرف دیکھا۔	اُسنے چاروں طرف دیکھا
اُسے ہر طرف انگریز معاشرے کی جھلکیاں دکھائی دیں۔	 ہر طرف انگریز معاشرے دکھائی دیں۔
ساتھ کمرے سے ڈانس میوزک کی آواز آ رہی تھی۔	کمرے سے میوزک کی آواز آ رہی تھی
والدہ نے اپنی لڑکی کو آواز دی۔	والدہ نے اپنی لڑکی کو آواز دی۔
تھوڑی دیر بعد میوزک بند ہو گئی اور لڑکی چھوٹے  کپڑے پہنے کمرے سے باہر نکل آئی۔	 میوزک بند ہو گئی اور لڑکی چھوٹے  کپڑے پہنے باہر نکل آئی۔
ہیلو ڈیڈ- مجھے کیوں بلایا؟	مجھے کیوں بلایا؟
اس سے پہلے کہ والد بیٹی کو بلانے کی وجہ بتاتے نیا مسلم لڑکا یہ کہہ کر کھڑا ہو گیا۔	والد وجہ بتاتے سے پہلے لڑکا یہ کہہ کر کھڑا ہو گیا۔
مجھے معاف کیجئے میں دو سال قبل جس معاشرے سے لوٹ آیا ہوں۔	میں جس معاشرے سے واپس آیا ہوں
دوبارہ اسی معاشرہ میں نہیں جانا چاہتا۔	دوبارہ اسی میں نہیں جانا چاہتا۔
یہ سن کر لڑکی کی والدہ کے چہرے پر پسینے کی بوندیں ابل پڑیں اور چہرے پر غازہ کی پرت کو دھونے لگیں۔	یہ سن کر لڑکی کی والدہ شرمندہ سی ہو گی۔
سمیر اپنے گاؤں سے شہر تعلیم حاصل کرنے کے مقصد آیا تھا۔	سمیر شہر تعلیم حاصل کرنے آیا تھا
شہر کے کالج میں تعلیم حاصل کرتے ہوئے اُسے تقریباً پانچ سال کا عرصہ ہو چکا تھا۔	تعلیم حاصل کرتے ہوئے اُسےپانچ سال کا عرصہ ہو چکا تھا۔
ان پانچ سالوں میں وہ اپنی کلاس کی غزالہ کی محبت میں بھی گرفتار ہوا تھا۔	اسےاپنی کلاس کی غزالہ سےمحبت ہوگئ
اب وہ غزالہ کو کسی طرح اپنے سے دور نہیں دیکھنا چاہتا تھا۔	وہ غزالہ کو خود سے دور نہیں دیکھنا چاہتا تھا
غزالہ بھی اُسے محبت کرنے لگی تھی۔	غزالہ بھی اُسے محبت کرنے لگی تھی۔
ایک دن جب غزالہ نے اپنی امّی سے یہ خواہش ظاہر کی کہ وہ سمیر سے ہی شادی کرنا چاہتی ہے۔	جب غزالہ نے اپنی امّی سے سمیر سے شادی کی خواہش ظاہر کرنا چاہتی ہے
تو اسکے والدین  غصہ ہوئے اور انھوں نے اسکی خواہش کونہیں مانا۔	اسکے والدین  غصہ ہوئے اور اسکی خواہش کونہیں مانا۔
والدین کے انکار کے بعد سمیر نے غزالہ کو چپ چاپ شہر چھوڑ کر کسی دوسرے شہر اسکے  ساتھ چلنے کے لئے راضی کر لیا۔	والدین کے انکار کے بعد سمیر نے غزالہ کو چپ چاپ اپنے  ساتھ چلنے کے لئے راضی کر لیا۔
اب سمیر اپنے کمرے میں بکھرے سامان کو اکھٹا کر رہا تھا۔	اب سمیر سامان کو اکھٹا رہا تھا
انھیں آج رات ایک بجے آنے والی ٹرین سے شہر چھوڑ نا تھا۔	انھیں آج رات شہر چھوڑ نا تھا۔
ابھی وہ اپنے سامان پیک ہی رہا تھا۔	وہ اپنا سامان پیک ہی کر رہا تھا
کہ اسکے موبائل پر کال آئ۔	کہ موبائل پر کال آئ۔
موبائل پر آیا فون نمبر اسکے گھر کے پڑوس کا تھا۔	فون پڑوس کا تھا۔
اُس نے موبائل اپنے کانوں سے لگا لیا۔	اُس نے موبائل اپنے کانوں سے لگا لیا۔
اسکے والد تکلیف دے اواز میں اس سے کہہ رہے تھے۔	اسکے والد پریشانی سے کہہ رہے تھے۔
بیٹا تمہاری بہن شہر سے آئے ایک نوجوان کے ساتھ پتہ نہیں کہاں چلی گئی ہے۔	بیٹا تمہاری بہن ایک نوجوان کے ساتھ کہیں چلی گئی-
تم فوراً چلے آؤ خاندان کی عزت خطرے میں ہے۔	تم آؤ خاندان کی عزت خطرے میں ہے
گاؤں کے لوگ بہت خوش تھے۔	گاؤں کے لوگ خوش تھے۔
اُن کے گاؤں کا لڑکا وزیر بن چُکا تھا۔	اُن کے گاؤں کا لڑکا وزیر بن چُکا تھا۔
وزیر بنتے ہی اُس نے اپنے گاؤں جا کر وہاں کے لوگوں کے حالات جاننے اور وہاں ایک عام سبھا لے کر گاؤں کا وکاس کرنے کا بھی اعلان کیا۔	وزیر بنتے ہی اُس نے اپنے گاؤں جا کر وہاں کے لوگوں کے حالات جاننے اور وہاں ایک عام جلاس لے کر گاؤں کا وکاس کرنے کا بھی اعلان کیا۔
اس اعلان کے بعد گاؤں کے لوگوں نے اپنے وزیر کی آنے پر استقبال کے لیے زور و شور سے تیاریاں شروع کر دیں۔ 	اس اعلان کے بعد لوگوں نے اپنے وزیر کی آنے پر تیاریاں شروع کر دیں۔ 
حکومت کے ذمہ داران بھی وہاں پہنچے۔	حکومت کے ذمہ داران بھی وہاں پہنچے۔
گاؤں کےآس پاس کا جائزہ لے کر عام سبھا کے لئے میدان تیار کرنے کا حکم دے دیا۔	گاؤں کے آس پاس کا جائزہ لے کر  میدان تیار کرنےکا حکم دے دیا۔
دوسرے دن سینکڑوں مزدور گاؤں کے باہر گھنے جنگل کو کاٹ کربڑے میدان میں تبدیل کرنے لگے۔	دوسرے دن مزدور جنگل کو کاٹ کر بڑے میدان میں تبدیل کرنے لگے
تاکہ منتری جی کی عام اجلاس میں زیادہ سے زیادہ لوگ شریک ہوں اور وکاس کے کاموں کا اعلان کیا جا سکے۔	تاکہ عام اجلاس میں زیادہ لوگ شریک ہوں اور وکاس کے کاموں کا اعلان کیا جا سکے
عمران  نوکری کے سلسلے میں اپنے گاؤں سے شہر آیا تھا اور گزرے دو سال سے جمیل سیٹھ کی چار منزلہ عمارت میں ایک کمرہ کرایہ پر لے کر رہ رہاتھا۔	عمران نوکری  کے لئے آیا تھا ، جمیل سیٹھ کی عمارت میں رہ رہاتھا۔
جمیل سیٹھ کا بہت بڑا  کاروبار تھا۔	جمیل سیٹھ کا بڑا کاروبار تھا۔
لیکن اُنھیں کوئی اولاد نہ تھی۔	لیکن انکی کوئی اولاد نہ تھی۔
ایک دن اچانک جمیل سیٹھ کو دل کا دورہ پڑا اور وہ  فوت ہو گئے۔	اچانک جمیل سیٹھ  فوت ہو گئے۔
ایک سال بعد عمران نے سیٹھ کی بیوی سے نکاح کر لیا۔	عمران نےسیٹھ کی بیوی سے نکاح کر لیا۔
اور مرحوم جمیل سیٹھ کے بڑے کاروبار کو سنبھال لیا۔	اور انکے کاروبار کو سنبھال لیا۔
اب لوگ اُسے عمران سیٹھ کے نام سے پُکارنے لگے تھے۔	لوگ اُسے عمران سیٹھ کے نام سے پُکارنے لگے تھے۔
اُن کی  تعلیمات کے ادارے میں آفیسر کے طور پر ترقی ہوئی تھی۔	اُن کی ادارے میں ترقی ہوئی تھی
دو روز بعد انھوں نے آفس کے ٹیبل پر رکھے فائلوں کو پڑھا-	انھوں نے آفس کے فائلوں کو پڑھا-
چند فائلوں پر دستخط کرنے کے بعد انھوں نے اپنے وابستہ کلرک کو بُلا کر کہا۔	چند فائلوں پر دستخط کرنے کے بعد  کلرک کو کہا۔
میں ان فائلوں پر دستخط نہیں کروں گا۔	میں باقی فائلوں پر دستخط نہیں کروں گا -
تم اُن لوگوں سے کہہ دو کہ میں قانون کے دائرے میں رہ کر ہی کام کرنے کا عادی ہوں۔	تم اُن سے کہہ دو کہ میں قانون کے دائرے میں ہی کام کرتا ہوں۔
یہ سن کر کلر ک مایوس ہو کر آفس سے باہر آگیا۔	 کلرک مایوس ہو کر باہرآگیا۔
دوسرے دن صاحب اُداس نظر آئے۔	دوسرے دن صاحب اُداس نظر آئے
تو کلرک نے اُداسی کی وجہ پوچھی۔	کلرک نے اُداسی کی وجہ پوچھی۔
صاحب نے کہا، میری بیٹی کے لیے رشتہ آیا ہے۔	صاحب نے کہا، بیٹی کے لیے رشتہ آیا ہے
لڑکا اچھا ہے لیکن وہ لوگ پچاس ہزار فورا مانگ رہے ہیں۔مگر میرے پاس--وہ کہتے کہتے رُک گیا۔	لڑکا اچھا ہے لیکن وہ لوگ پچاس ہزار مانگ رہے ہیں لیکن میرے پاس نہیں ہیں۔
پھر کلرک نے سر آہستہ  انداز میں صاحب سے بات کیي۔	کلرک نے صاحب سے بات آہستہ کیي-
دوسرے دن سبھی فائلوں پر صاحب کی دستخط ہو چکا تھا اور صاحب نے اپنی بیٹی کی شادی کی تیاری کے لئے ادارے سے ایک مہینے کی چٹھی بھی لے لی تھی۔	دوسرے دن صاحب نے فائلوں پردستخط کر کے  اپنی بیٹی کی شادی  کے لئے ایک مہینے کی چٹھی بھی لے لی تھی۔
وہ اس شہر کا مشہور و نامور محقق، ادیب و شاعر تھا۔	وہ اس شہر کا مشہورادیب و شاعر تھا۔
ادبی دنیا کے نقشے میں وہ شہر اُسی کے نام سے پہچانا جاتا تھا۔	وہ شہر اُس کے نام سے پہچانا جاتا تھا۔
لیکن اُس کے عزت کے نام سے جڑے اس بڑے شہر میں اُس کا اپنا ذاتی ایک چھوٹا سا مکان بھی نہ تھا۔	لیکن اُس بڑے شہر میں اُس کا چھوٹا سا مکان بھی نہ تھا۔
وہ کرایہ کے مکان میں اپنی محنت کرکے شہر کے ادبی عزت کو قائم رکھے ہوئے تھا۔	وہ کرایہ کے مکان میں محنت کرکے شہر کے ادبی عزت کو قائم رکھے ہوئے تھا۔
وہ دو لاکھ روپے کا قرض دار تھا۔	وہ  قرض دار تھا
روزانہ ہی لوگ اپنا روپیہ لینے کے لئے اُس کے دروازے پر دستک دیتے۔	روزانہ لوگ اپنا روپیہ لینے کے لئے اُس کے پاس آجاتے۔
ایک دن اُس نے اُن لوگوں سے نجات پانے کا راستہ ڈھونڈا اور اس زندگی سے نجات پانے کے لئے ایک کھیت کے ویران کنویں کی طرف خود کشی کے لیے چل پڑا۔	اُس نے اُن لوگوں سے نجات پانے کے لئے ایک ویران کنویں کی طرف خود کشی کے لیے چل پڑا۔
وہاں پہنچنے پر اُس نے دیکھا کہ کنویں کے قریب بہت سے لوگ جمع ہے۔	اُس نے دیکھا کہ کنویں کے قریب لوگ جمع ہے۔
لوگ ایک شخص کا ہاتھ پکڑے اُسے سمجھا رہے ہیں۔	لوگ ایک شخص کو سمجھا رہے ہیں
لیکن وہ خود کشی کرنے پر ضد کر رہا ہے۔	لیکن وہ خود کشی کرنے پر ضدکر رہا ہے
وہ جیسے ہی لوگوں میں سے گزر کر اُس کے قریب پہنچا۔	وہ جیسے ہی اُس کے قریب پہنچا
ایک شخص نے اُس سے کہا ذرا اس شخص کو سمجھائیے یہ خود کشی کرنا چاہتا ہے۔	کیسی نے کہا اس شخص کو سمجھائیے یہ خود کشی کرنا چاہتا ہے
وہ آگے بڑھا اور پھر اُس نے اُسے زندگی کو زندہ دلی کے ساتھ جینے کا حوصلہ دیا۔	وہ آگے بڑھا اوراُسے زندگی کوجینے کا حوصلہ دیا۔
کنویں میں اپنے پیر لٹکائے شخص نے اُس کی باتیں غور سے سنی اور خود کشی کرنے کا ارادہ چھوڑ کے اُٹھ کھڑا ہوا اور اُس سے گلے ملتے ہوئے کہنے لگا۔	 شخص نے اُس کی باتیں غور سے سن کے اُٹھ کھڑا ہوا اور اُس سے گلے ملتے ہوئے کہنے لگا۔
دوست تم واقعی زندہ دل انسان ہو۔	تم زندہ دل انسان ہو
تمھاری باتیں مجھ پر اثر کر گئیں۔	تمھاری باتیں مجھ پر اثر کر گئیں
تم میرے لئے زندگی کا فرشتہ بن کر آئے۔	تم میرے لئے فرشتہ بن کر آئے
پھر و ہ دونوں ایک دوسرے کے گلے میں ہاتھ ڈالے لوگوں کے ہجوم سے نکل کر گاؤں کی جانب چل پڑے۔	دونوں گلے میں ہاتھ ڈالے چل پڑے۔
رات تین بجے کا وقت تھا۔	رات کا وقت تھا۔
سب لوگ سو رہے تھے	سب لوگ سو رہے تھے،
لیکن وہ اب بھی ایک موم بتی کی روشنی میں بیٹھا کچھ پڑھ رہا تھا۔	لیکن وہ اب بھی بیٹھا کچھ پڑھ رہا تھا۔
دل میں بہت سے مقاصد لئے محنت کرنے میں مصروف تھا۔	 محنت کرنے میں مصروف تھا۔
یہ سکندر تھا جو ایک غریب گھرانے سے تعلق رکھتا تھا۔	 یہ سکندر تھا جو ایک غریب گھرانے سے تھا۔
اس کی عمر تقریباً پندرہ سال تھی۔	اس کی عمر  پندرہ سال تھی۔
اسے پڑھنے کا بہت شوق تھا 	اسے پڑھنے کا شوق تھا ،
مگر اس کے پاس فیس کے لئے پیسے نہ تھے۔	مگر اس کے پاس فیس کے لئے پیسے نہ تھے۔
وہ اپنے ابا کے ساتھ سردار صاحب کے گھر ملازمت کرتا تھا۔	وہ اپنے ابا کے ساتھ سردار صاحب کے گھر ملازمت کرتا تھا۔
سردار کا بھی ایک بیٹا تھا۔	سردار کا  ایک بیٹا تھا۔
جس کا نام حیدر تھا۔	جس کا نام حیدر تھا۔
وہ حیدر سے اس کی پرانی کلاسوں کی کتابیں لے کر پڑھتا تھا۔	وہ اس کی کتابیں لے کر پڑھتا تھا۔
اس طرح پانچویں جماعت تک تو پڑھ لیا،	اس طرح پانچویں جماعت تک تو پڑھ لیا،
مگر آگے پڑھائی مشکل تھی۔	مگر آگے پڑھائی مشکل تھی۔
اب حیدر کی کتابوں سے پڑھنا ناممکن تھا۔	اب حیدر کی کتابوں سے پڑھنا ناممکن تھا۔
انہی سوچوں میں کب رات گزری پتا ہی نہیں چلا۔	رات گزری-
اگلی صبح سکندر اپنے باپ کے ساتھ کام پر جانے کے لئے تیار ہوا۔	اگلی صبح سکندر کام پر جانے کے لئے تیار ہوا۔
آج وہ کچھ اُداس سا تھا۔	آج وہ کچھ اُداس سا تھا۔
کام میں بھی کچھ دل نہ لگ رہا تھا۔	کام میں بھی کچھ دل نہ لگ رہا تھا۔
تب ہی سردار صاحب کا ایک دوست گھر آیا۔	سردار صاحب کا ایک دوست گھر آیا۔
جب اس نے سکندر کو پریشان دیکھا تو اس سے وجہ پوچھی۔	جب اس نے سکندر کو پریشان دیکھا
پہلے تو سکندر کچھ ہچکچایا،لیکن پھر سب کچھ کہہ ڈالا۔	 تو اس سے وجہ پوچھی۔
سردارصاحب کے دوست بولے:”بیٹا!وقت بدلتے پتا نہیں چلتا۔	سکندر سب کچھ کہہ ڈالا۔
کب لاٹھی کس کے ہاتھ میں ہو۔ایک وقت تھا کہ میں تمہاری جگہ میں موجود تھا۔	  کب انسان بوڑھ اہو سردارصاحب کے دوست بولے:بیٹا!وقت بدلتے پتا نہیں چلتا۔
یہ سن کر سکندر حیران ہو گیا۔	ایک وقت تھا کہ میں تمہاری جگہ میں موجود تھا۔
”ہاں بیٹا! ٰیہی سچ ہے! لیکن اس وقت ایک ہمدرد آدمی نے میری مدد کی تھی اور مجھ سے وعدہ لیا تھا	سکندر حیران ہو گیا۔
 کہ میں بھی کسی ضرورت مند طالب علم کی مدد کروں گا۔	اس وقت ایک آدمی نے میری مدد کی تھی اور مجھ سے وعدہ لیا تھا کہ کسی ضرورت مند کی مدد کروں گا۔
تو بیٹا! آج مجھے تمہاری صورت میں وہ ضرورت مند طالب علم مل گیا ہے۔	آج مجھے تمہاری صورت میں وہ ضرورت مند طالب علم مل گیا ہے۔
اب تمہیں بھی مجھ سے وعدہ کرنا ہو گا کہ تم بھی کسی ضرورت مند طالب علم کی مدد کرو گے۔“	اب تمہیں وعدہ کرنا ہو گا کہ تم ضرورت مند کی مدد کرو گے۔
یہ کہہ کر وہ سکندر کو لئے ایک سکول کی طرف بڑھے۔	 وہ سکندر کو سکول کی طرف بڑھے۔
وقت نے کیسے پہیے لگائے پتا ہی نہیں چلا۔	وقت پتا ہی نہیں چلا۔
آخر دس سال گزر گئے۔	دس سال گزر گئے۔
ایک بہت عمدہ اور چمک دار لباس میں ملبوس ایک شخص ٹیبل پر بیٹھا کھانا کھا رہا تھا۔	ایک بہت عمدہ لباس میں ایک شخص ٹیبل پر بیٹھا کھانا کھا رہا تھا۔
جب اس کی نظر ایک بچے پر پڑی جو کہ کاغذ کے ٹکڑے اکٹھے کر کے انھیں پڑھنے کی کوشش کر رہا تھا۔	جب اس کی نظر ایک بچے پر پڑی جو کہ کاغذ پڑھنے کی کوشش کر رہا تھا۔
اس کی آنکھوں کی چمک نے اسے اپنا بچپن یاد کرادیا۔	اسے اپنا بچپن یاد کرادیا۔
وہ آدمی سکندر تھا۔	وہ سکندر تھا۔
جب اس نے بچے کو دیکھا تو اسے سردار صاحب کے دوست سے کیا ہوا وعدہ یاد آیا۔	جب اس نے بچے کو دیکھا تو اسے وعدہ یاد آیا۔
وہ اپنی ٹیبل سے اُٹھ کر بچے کے قریب پہنچا اور اس کے سر پر ہاتھ رکھ دیا۔	وہ بچے کے قریب پہنچا اور اس کے سر پر ہاتھ رکھ دیا۔
گرمیوں کی لُو سے بھری ایک دوپہر تھی	گرمیوں کی دوپہر تھی
 جب وہ اسکول سے گھر لوٹا،	 جب وہ گھر لوٹا،
 گھر میں داخل ہوتے ہی اسے محسوس ہوا اجیسے ماں کے چہرے کا رنگ ایکدم تبدیل ہو گیا۔ماں سے دیکھ کر مسکرائی اور کہا،جلدی سے کپڑے بدل لو میں کھانا لاتی ہوں۔	گھر میں داخل ہوتے ہی ماں کہا، جلدی سے کپڑے بدل لو میں کھانا لاتی ہوں۔
جب وہ کپڑے بدل کر آیا تو سامنے سبزی یا دال کی جگہ کچھ اسکی پسندیدہ ڈش، ایک پیالی میں میٹھا اورگلاس میں ستو موجود تھا۔	جب وہ آیا تو سامنے اسکی پسندیدہ ڈش موجود تھا۔
اُس نے پوچھا امی آج اتنا کچھ؟ خیریت تو ہے؟	اُس نے پوچھا امی آج خیریت تو ہے؟
 ماں نے کہا ، ہاں مہمان آئے تھے اس لیے یہ سب بنایا۔	ماں نے کہا ،ہاں مہمان آئے تھے اس لیے یہ سب بنایا۔
 اُسنے کہا ، آپ بھی آ جائیں۔	 اُسنے کہا ، آپ بھی آ جائیں۔
ماں بولی، میں نے مہمانوں کے ساتھ کھا لیاتھا	ماں بولی،کھا لیاتھا
اب تو پانی کی جگہ بھی نہیں، تم کھاؤ نا ٹھنڈا ہو جائے گا	 تم کھاؤ نا ٹھنڈا ہو جائے گا،
، یہ کہہ کر ماں پھر سے کچن میں چلی گئی۔	ماں کچن میں چلی گئی۔
وہ روز منہ بنا کر کھانا کھاتا تھا لیکن آج پسند کا کھانا دیکھ کر جلدی جلدی سب چٹ کر گیا۔	 آج پسند کا کھانا دیکھ کر جلدی جلدی سب چٹ کر گیا۔
 برتن اُٹھا کر وہ جیسے ہی کچن میں داخل ہوا	 برتن اُٹھا کر وہ کچن میں داخل ہوا
 تو اُس نے دیکھا کہ دُنیا کی سب سے زیادہ جھوٹی عورت فرش پر بیٹھی کئی دنوں کے بھوکوں کی طرح باسی روٹی کو پانی میں ڈبو کر کھا رہی تھی۔	 تو اُس نے دیکھا کہ دُنیا کی جھوٹی عورت فرش پر بیٹھی باسی روٹی کوکھا رہی تھی۔
